Time,Velocity,km_Remaining,Lat,Long,Altd_m,SOC,SOC_Wh,Array_Power_W,Irradiance_W,Power_Usage_W
19-Sep-2015 00:00:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:01:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:02:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:03:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:04:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:05:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:06:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:07:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:08:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:09:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:10:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:11:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:12:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:13:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:14:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:15:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:16:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:17:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:18:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:19:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:20:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:21:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:22:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:23:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:24:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:25:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:26:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:27:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:28:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:29:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:30:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:31:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:32:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:33:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:34:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:35:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:36:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:37:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:38:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:39:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:40:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:41:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:42:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:43:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:44:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:45:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:46:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:47:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:48:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:49:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:50:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:51:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:52:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:53:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:54:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:55:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:56:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:57:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:58:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 00:59:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 01:00:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 01:01:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 01:02:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 01:03:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 01:04:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 01:05:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
19-Sep-2015 01:06:00,0,17.380816894158,-27.39331,151.38589,345.940981106444,22.24,1042.753536,0,-0,0
